2016-10-03 00:08:34|insertó  100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:08:51|insertó  200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:15:33|insertó  300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:16:02|insertó  400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:17:12|insertó  500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:18:12|insertó  600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:18:29|insertó  700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:18:45|insertó  800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:19:02|insertó  900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:19:36|insertó  1000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:19:54|insertó  1100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
